ID	TARGET	TEXT	CLEAN_SENTENCES	SEGMENT_SENTENCES
1194	春节放鞭炮	逛庙会？不逛庙会？吃饺子？不吃饺子？放鞭炮？不放鞭炮？睡呢还是不睡呢？这个春节好纠结哇。。。。发短信拜年？发微信拜年？	逛庙会 不逛庙会 吃饺子 不吃饺子 放鞭炮 不放鞭炮 睡呢还是不睡呢 这个春节好纠结哇 发短信拜年 发微信拜年 	逛庙会,庙会,不,逛庙会,庙会,吃饺子,饺子,不吃,吃饺子,饺子,放鞭,放鞭炮,鞭炮,不放,放鞭,放鞭炮,鞭炮,睡,呢,还是,不,睡,呢,这个,春节,好,纠结,哇,发短,发短信,短信,拜年,发,微,信,拜年
1195	春节放鞭炮	每年初五都被鞭炮声吵醒，今年禁放了，我反而在这时候醒了#春节不放鞭炮#	每年初五都被鞭炮声吵醒 今年禁放了 我反而在这时候醒了 春节不放鞭炮 	每年,年初,初五,都,被,鞭炮,鞭炮声,炮声,吵醒,今年,禁放,了,我,反而,在,这时,这时候,时候,醒,了,春节,不放,放鞭,放鞭炮,鞭炮
1196	春节放鞭炮	庙会顺利逛完，地铁雍和宫已甩站。该吃的一趟全吃遍，每个临时搭的公厕都上了一遍，哈哈哈哈哈 人多天冷过节气氛还是那么的浓。北京第一个春节，不错〜等着初五放鞭炮啦	庙会顺利逛完 地铁雍和宫已甩站 该吃的一趟全吃遍 每个临时搭的公厕都上了一遍 哈哈哈哈哈 人多天冷过节气氛还是那么的浓 北京第一个春节 不错 等着初五放鞭炮啦	庙会,顺利,逛,完,地铁,雍和宫,已,甩站,该,吃,的,一趟,全,吃,遍,每个,临时,搭,的,公厕,都,上,了,一遍,哈哈,哈哈哈,哈哈哈哈,哈哈,哈哈哈,哈哈哈哈,哈哈,哈哈哈,哈哈,人,多天,天冷,过节,节气,气氛,还是,那么,的,浓,北京,第一,第一个,一个,春节,不错,等,着,初五,放鞭,放鞭炮,鞭炮,啦
1197	春节放鞭炮	除夕夜到了，大家都开始放鞭炮啦！现在才感觉到过年的气息。祝大家春节快乐！	除夕夜到了 大家都开始放鞭炮啦 现在才感觉到过年的气息 祝大家春节快乐 	除夕,除夕夜,到,了,大家,都,开始,放鞭,放鞭炮,鞭炮,啦,现在,才,感觉,到,过年,的,气息,祝,大家,春节,春节快乐,快乐
1198	春节放鞭炮	春节过去啦，您今年过节放鞭炮了吗？您感觉今年市民放鞭炮有什么改变吗？是什么让我们改变了春节放鞭炮的民俗？您觉得春节放鞭炮应该是禁？限放？还是有其他方式？郑州电视台《周末面对面》和您一起探讨，敬请收看！ 我在:|淮河西路	春节过去啦 您今年过节放鞭炮了吗 您感觉今年市民放鞭炮有什么改变吗 是什么让我们改变了春节放鞭炮的民俗 您觉得春节放鞭炮应该是禁 限放 还是有其他方式 郑州电视台 周末面对面 和您一起探讨 敬请收看 我在 淮河西路	春节,过去,啦,您,今年,过节,放鞭,放鞭炮,鞭炮,了,吗,您,感觉,今年,市民,放鞭,放鞭炮,鞭炮,有,什么,改变,吗,是,什么,让,我们,改变,了,春节,放鞭,放鞭炮,鞭炮,的,民俗,您,觉得,春节,放鞭,放鞭炮,鞭炮,应该,该是,禁,限,放,还是,有,其他,方式,郑州,电视,电视台,周末,面对,面对面,对面,和,您,一起,探讨,敬请,收看,我,在,淮河,河西,西路
1199	春节放鞭炮	杭州人的倡议书： 为了健康 我们马年春节 不放鞭炮烟花 再过几天，春节就要到了！ 我们不希望在雾霾中，在震耳欲聋的爆竹噪声中迎来马年！ 我们不愿意戴着厚厚的防PM2.5口罩，走亲访友！ 我们不忍心再见到，清洁工在初一的寒风中寂寞地清扫着鞭炮烟花残骸！	杭州人的倡议书 为了健康 我们马年春节 不放鞭炮烟花 再过几天 春节就要到了 我们不希望在雾霾中 在震耳欲聋的爆竹噪声中迎来马年 我们不愿意戴着厚厚的防 口罩 走亲访友 我们不忍心再见到 清洁工在初一的寒风中寂寞地清扫着鞭炮烟花残骸 	杭州,杭州人,的,倡议,倡议书,为了,健康,我们,马,年,春节,不放,放鞭,放鞭炮,鞭炮,烟花,再过,几天,春节,就要,要到,了,我们,不,希望,在,雾,霾,中,在,震耳,震耳欲聋,的,爆竹,噪声,中,迎来,马,年,我们,不,愿意,戴,着,厚厚,厚厚的,防,口罩,走亲访友,访友,我们,不忍,不忍心,忍心,再见,见到,清洁,清洁工,在,初一,的,寒风,中,寂寞,地,清扫,着,鞭炮,烟花,残骸
1200	春节放鞭炮	全家人今天在巍山老家过年，其乐融融关键是我放鞭炮啦在这给各位拜年啦，祝大家新年新气象，年年有今日，岁岁有今朝，财源滚滚来〜福寿又安康，事业发达，家庭美满〜最后春节快乐@shml漫丽 @狸猫之夏 @鸳鸯纹身nala @布玛的琪琪 @DAIVD的blog @浮生如梦不愿醒 @佳佳小主 @唯Enzo @趙又頡	全家人今天在巍山老家过年 其乐融融关键是我放鞭炮啦在这给各位拜年啦 祝大家新年新气象 年年有今日 岁岁有今朝 财源滚滚来 福寿又安康 事业发达 家庭美满 最后春节快乐 漫丽 狸猫之夏 鸳鸯纹身 布玛的琪琪 的 浮生如梦不愿醒 佳佳小主 唯 趙又頡	全家,全家人,家人,今天,在,巍山,老家,过年,其乐融融,乐融融,融融,关键,是,我,放鞭,放鞭炮,鞭炮,啦,在,这,给,各位,拜年,啦,祝,大家,新年,新年新,新气象,气象,年,年,有,今日,岁,岁,有,今朝,财源,财源滚滚,滚滚,滚来,福寿,又,安康,事业,发达,家庭,美满,最后,春节,春节快乐,快乐,漫,丽,狸猫,之,夏,鸳鸯,纹身,布,玛,的,琪琪,的,浮生,生如,梦,不,愿,醒,佳佳,小,主,唯,趙,又,頡
1201	俄罗斯在叙利亚的反恐行动	还要交钱才能看完	还要交钱才能看完	还要,交钱,才能,看完
1202	俄罗斯在叙利亚的反恐行动	一旦沙特土耳其出动地面部队，俄罗斯的首要任务应是说服伊朗出动地面部队，如果不能说服伊朗而必须自己出动，应是俄外交上的失败	一旦沙特土耳其出动地面部队 俄罗斯的首要任务应是说服伊朗出动地面部队 如果不能说服伊朗而必须自己出动 应是俄外交上的失败	一旦,沙特,土耳其,出动,动地,地面,地面部队,面部,部队,俄罗斯,罗斯,的,首要,首要任务,任务,应,是,说服,伊朗,出动,动地,地面,地面部队,面部,部队,如果,不能,说服,伊朗,而,必须,自己,出动,应,是,俄,外交,交上,的,失败
1203	俄罗斯在叙利亚的反恐行动	嗯，伊拉克、利比亚的难民也是俄罗斯制造的	嗯 伊拉克 利比亚的难民也是俄罗斯制造的	嗯,伊拉,伊拉克,拉克,利比,利比亚,比亚,的,难民,也,是,俄罗斯,罗斯,制造,的
1204	俄罗斯在叙利亚的反恐行动	反人类，不是和他们一派的，他们都想杀	反人类 不是和他们一派的 他们都想杀	反,人类,不是,和,他们,一派,的,他们,都,想,杀
1205	俄罗斯在叙利亚的反恐行动	老美还要买俄罗斯的90年代产火箭发动机泥，液氧，煤油无毒，无污染RD180.推力400吨，俄罗斯自己用的推力800吨，中国最新研制长征五号液氧煤油，火箭发动机推力120吨，俄罗斯战略轰炸机，图160航程18000公里，载弹量40吨……许多军事要看核心数据指标，比较一下，有实力可以玩，没实力别人就欺负你……	老美还要买俄罗斯的 年代产火箭发动机泥 液氧 煤油无毒 无污染 推力 吨 俄罗斯自己用的推力 吨 中国最新研制长征五号液氧煤油 火箭发动机推力 吨 俄罗斯战略轰炸机 图 航程 公里 载弹量 吨 许多军事要看核心数据指标 比较一下 有实力可以玩 没实力别人就欺负你 	老美,还要,买,俄罗斯,罗斯,的,年代,产,火箭,火箭发动,发动,发动机,动机,泥,液氧,煤油,无毒,无污染,污染,推力,吨,俄罗斯,罗斯,自己,用,的,推力,吨,中国,最新,研制,长征,五号,液氧,煤油,火箭,火箭发动,发动,发动机,动机,推力,吨,俄罗斯,罗斯,战略,战略轰炸,轰炸,轰炸机,图,航程,公里,载弹量,吨,许多,军事,要,看,核心,心数,数据,指标,比较,一下,有,实力,可以,玩,没,实力,别人,就,欺负,你
1206	俄罗斯在叙利亚的反恐行动	中国呢？不带中国玩了？中国是大国啊！！我抗议我谴责。	中国呢 不带中国玩了 中国是大国啊 我抗议我谴责 	中国,呢,不,带,中国,玩,了,中国,国是,大国,啊,我,抗议,我,谴责
1207	俄罗斯在叙利亚的反恐行动	穆穆多的地方早晚的事情。	穆穆多的地方早晚的事情 	穆,穆,多,的,地方,早晚,的,事情
1208	俄罗斯在叙利亚的反恐行动	对于中国足球来说已经死里逃生了，已经不纯在怕谁了。	对于中国足球来说已经死里逃生了 已经不纯在怕谁了 	对于,中国,国足,足球,来说,已经,死里逃生,逃生,了,已经,不纯,在,怕,谁,了
1209	俄罗斯在叙利亚的反恐行动	我对于俄罗斯普京而言，你的果断处理叙利亚党内业务。我表示十分的赞成，这样可以使叙利亚不受控制，人民自由幸福生活的继续。同时我也希望我们国家，在外交方面可以像你一样，那么霸气十足。以民主制选举国家有用人才，因为我们国家本来在几百年前，一直都是世界强国。我希望以前是，现在是将来还是…	我对于俄罗斯普京而言 你的果断处理叙利亚党内业务 我表示十分的赞成 这样可以使叙利亚不受控制 人民自由幸福生活的继续 同时我也希望我们国家 在外交方面可以像你一样 那么霸气十足 以民主制选举国家有用人才 因为我们国家本来在几百年前 一直都是世界强国 我希望以前是 现在是将来还是 	我,对于,俄罗斯,罗斯,斯普京,普京,而言,你,的,果断,处理,叙利亚,利亚,党内,内业,业务,我,表示,十分,的,赞成,这样,可以,以使,叙利亚,利亚,不受,受控,控制,人民,自由,幸福,幸福生活,生活,的,继续,同时,我,也,希望,我们,国家,在外,外交,方面,可以,像,你,一样,那么,霸气,十足,以,民主,民主制,选举,举国,国家,有用,用人,人才,因为,我们,国家,本来,在,几百,几百年,百年,年前,一直,都,是,世界,强国,我,希望,以前,是,现在,是,将来,还是
1210	俄罗斯在叙利亚的反恐行动	还好，这些还在，歌好听	还好 这些还在 歌好听	还好,这些,还,在,歌,好听
1211	俄罗斯在叙利亚的反恐行动	 #军事大厅# 土耳其人是怎么想的呢？有没有央视的人跑去采访一下普通的土耳其人？	 军事大厅 土耳其人是怎么想的呢 有没有央视的人跑去采访一下普通的土耳其人 	军事,大厅,土耳其,土耳其人,其人,是,怎么,想,的,呢,有没有,没有,央视,的,人,跑,去,采访,一下,普通,的,土耳其,土耳其人,其人
1212	俄罗斯在叙利亚的反恐行动	跟谁不是硬仗似的	跟谁不是硬仗似的	跟,谁,不是,硬仗,似的
1213	俄罗斯在叙利亚的反恐行动	恃强凌弱的是俄罗斯，咄咄逼人的是美国，狼子野心的是日本。全世界认为最铁血、做可能发动战争的总统也只是雷声大雨点小，毕竟枪要为钱让路，经济才是出路。	恃强凌弱的是俄罗斯 咄咄逼人的是美国 狼子野心的是日本 全世界认为最铁血 做可能发动战争的总统也只是雷声大雨点小 毕竟枪要为钱让路 经济才是出路 	恃强凌弱,强凌弱,凌弱,的,是,俄罗斯,罗斯,咄咄,咄咄逼人,逼人,的,是,美国,狼子野心,野心,的,是,日本,全世界,世界,认为,最,铁血,做,可能,发动,发动战争,战争,的,总统,也,只是,雷声,雷声大,雷声大雨,大雨,雨点,雨点小,毕竟,枪,要为,钱,让路,经济,才,是,出路
1214	俄罗斯在叙利亚的反恐行动	我参与了 @CCTV5体育新闻 发起的投票 【12强赛抽签完毕，你怎么看国足前景？】，我投给了“不争一时长短，放眼2030...”这个选项。你也快来表态吧~	我参与了 体育新闻 发起的投票 强赛抽签完毕 你怎么看国足前景 我投给了 不争一时长短 放眼 这个选项 你也快来表态吧 	我,参与,了,体育,体育新闻,育新,新闻,发起,的,投票,强,赛,抽签,签完,完毕,你,怎么,看,国足,前景,我,投,给,了,不争,一时,时长,长短,放眼,这个,选项,你,也,快来,表态,吧
1215	俄罗斯在叙利亚的反恐行动	今天普京大帝没那么帅了，这是为啥呢	今天普京大帝没那么帅了 这是为啥呢	今天,普京,大帝,没,那么,帅,了,这,是,为啥,呢
1216	俄罗斯在叙利亚的反恐行动	美国应该是 阿萨德>Isis. 只要isis没有威胁到本土的homesecuirty, 就对美国的core interest没有威胁。毕竟一个非great power的极端政权，在中东都影响力有限，而美帝的重心在于重返亚太遏制中国，必须得从中东撤身。如果isis出于意识形态 真的计划袭击美国本土，那就有意思了	美国应该是 阿萨德 只要 没有威胁到本土的 就对美国的 没有威胁 毕竟一个非 的极端政权 在中东都影响力有限 而美帝的重心在于重返亚太遏制中国 必须得从中东撤身 如果 出于意识形态 真的计划袭击美国本土 那就有意思了	美国,应该,该是,阿萨,阿萨德,只要,没有,威胁,到,本土,的,就,对,美国,的,没有,威胁,毕竟,一个,非,的,极端,政权,在,中东,东都,影响,影响力,有限,而,美,帝,的,重心,在于,重返,亚太,遏制,中国,必须,得,从中,中东,撤,身,如果,出于,意识,意识形态,形态,真的,计划,袭击,美国,国本,本土,那,就,有意,有意思,意思,了
1217	俄罗斯在叙利亚的反恐行动	当年伊朗两大敌人：塔利班和萨达姆，美国帮他们消灭了。这是国际上的活雷锋啊	当年伊朗两大敌人 塔利班和萨达姆 美国帮他们消灭了 这是国际上的活雷锋啊	当年,伊朗,两,大敌,敌人,塔利,塔利班,和,萨达姆,达姆,美国,帮,他们,消灭,了,这,是,国际,上,的,活雷锋,雷锋,啊
1218	俄罗斯在叙利亚的反恐行动	还记得死在沙滩上的小男孩吗？难怪难民非得往欧洲逃	还记得死在沙滩上的小男孩吗 难怪难民非得往欧洲逃	还,记得,死,在,沙滩,上,的,小男孩,男孩,吗,难怪,难民,非得,往,欧洲,逃
1219	俄罗斯在叙利亚的反恐行动	普京读过《莎士比亚》全集吗？没读过就去英国也太掉价了吧？	普京读过 莎士比亚 全集吗 没读过就去英国也太掉价了吧 	普京,读,过,莎士比亚,比亚,全集,吗,没,读,过,就,去,英国,也,太,掉价,了,吧
1220	俄罗斯在叙利亚的反恐行动	美国被朝鲜搞了军舰，也没宣战啊。拍美国马屁的人历史知识太差。	美国被朝鲜搞了军舰 也没宣战啊 拍美国马屁的人历史知识太差 	美国,被,朝鲜,搞,了,军舰,也,没,宣战,啊,拍,美国,马屁,的,人,历史,知识,太差
1221	俄罗斯在叙利亚的反恐行动	对嘛 ！！！ 俄罗斯 在 叙利亚 是 消灭 ISIS 恐怖主义 ！！！ 呵呵 。	对嘛 俄罗斯 在 叙利亚 是 消灭 恐怖主义 呵呵 	对,嘛,俄罗斯,罗斯,在,叙利亚,利亚,是,消灭,恐怖,恐怖主义,主义,呵呵
1222	俄罗斯在叙利亚的反恐行动	感觉土耳其把谁都不放在眼里	感觉土耳其把谁都不放在眼里	感觉,土耳其,把,谁,都,不放,放在,放在眼里,眼里
1223	俄罗斯在叙利亚的反恐行动	希望中国领导人认真看新闻，以后侵犯中国南海领海领空的外国战机和船只，一定要击落，否则一点大国威严都没有，难道中国比不过一个小小的土耳其?	希望中国领导人认真看新闻 以后侵犯中国南海领海领空的外国战机和船只 一定要击落 否则一点大国威严都没有 难道中国比不过一个小小的土耳其 	希望,中国,领导,领导人,认真,看,新闻,以后,侵犯,中国,南海,领海,领空,的,外国,战机,和,船只,一定,定要,要击,击落,否则,一点,大国,国威,威严,都,没有,难道,中国,比,不过,一个,小小,小小的,土耳其
1224	俄罗斯在叙利亚的反恐行动	人家出线靠实力，国足出线靠运气。好运气终有用完的一天！	人家出线靠实力 国足出线靠运气 好运气终有用完的一天 	人家,出线,靠,实力,国足,出线,靠,运气,好运,好运气,运气,终有,有用,完,的,一天
1225	俄罗斯在叙利亚的反恐行动	反正普京在位，石油就基本别想涨钱了。可是我严重怀疑我们买俄罗斯能源的价格和市场价差得不是一点儿。咋这汽油就是各种理由的不掉价呢？	反正普京在位 石油就基本别想涨钱了 可是我严重怀疑我们买俄罗斯能源的价格和市场价差得不是一点儿 咋这汽油就是各种理由的不掉价呢 	反正,普京,在位,石油,就,基本,别,想,涨钱,了,可是,我,严重,怀疑,我们,买,俄罗斯,罗斯,能源,的,价格,和,市场,市场价,价差,得,不是,一点,一点儿,点儿,咋,这,汽油,就是,各种,理由,的,不掉,掉价,呢
1226	俄罗斯在叙利亚的反恐行动	突撅人外交一直很有章法，东西方左右逢源，这次是载到叙利亚这个大坑里了	突撅人外交一直很有章法 东西方左右逢源 这次是载到叙利亚这个大坑里了	突,撅,人,外交,一直,很,有,章法,东西,东西方,西方,左右,左右逢源,这次,是,载到,叙利亚,利亚,这个,大坑,坑里,了
1227	俄罗斯在叙利亚的反恐行动	中国不落井下石，俄罗斯就不会有问题，只会拖死老美和沙特	中国不落井下石 俄罗斯就不会有问题 只会拖死老美和沙特	中国,不落,落井,落井下石,井下,石,俄罗斯,罗斯,就,不会,有,问题,只,会,拖死,老美,和,沙特
1228	俄罗斯在叙利亚的反恐行动	高射炮打蚊子，醉翁之意不在酒。 // @高程CASS : 俄罗斯将出动三款战略轰炸机投入叙利亚反恐战争。	高射炮打蚊子 醉翁之意不在酒 高程 俄罗斯将出动三款战略轰炸机投入叙利亚反恐战争 	高射,高射炮,打,蚊子,醉翁,醉翁之意,醉翁之意不在酒,翁之意,不在,酒,高程,俄罗斯,罗斯,将,出动,三款,战略,战略轰炸,轰炸,轰炸机,投入,叙利亚,利亚,反恐,战争
1229	俄罗斯在叙利亚的反恐行动	普京撤退在附近猫着，乌克兰或哪里又惹事,他再开辟第三第四战场呗	普京撤退在附近猫着 乌克兰或哪里又惹事 他再开辟第三第四战场呗	普京,撤退,在,附近,猫,着,乌克兰,克兰,或,哪里,又,惹事,他,再,开辟,第三,第三第四,第四,四战,战场,呗
1230	俄罗斯在叙利亚的反恐行动	 普京 强势出兵 叙利亚 ，可谓艺高人胆大。美国的中东 反恐 政策已经失败，为对付伊斯兰国，它只得暂时放阿萨德一马。	 普京 强势出兵 叙利亚 可谓艺高人胆大 美国的中东 反恐 政策已经失败 为对付伊斯兰国 它只得暂时放阿萨德一马 	普京,强势,出兵,叙利亚,利亚,可谓,艺高,艺高人胆大,胆大,美国,的,中东,反恐,政策,已经,失败,为,对付,伊斯,伊斯兰,国,它,只得,暂时,放,阿萨,阿萨德,一,马
1231	俄罗斯在叙利亚的反恐行动	0.0空耳君简直神速	 空耳君简直神速	空,耳,君,简直,神速
1232	俄罗斯在叙利亚的反恐行动	美国的所谓自由军其实很多都有伊斯兰色彩，另外叙利亚的问题关键在于教派矛盾，美国和西方一厢情愿的描述成是民主与独裁，压迫与反抗的问题，我怀疑他们自己到底信不信这一套。	美国的所谓自由军其实很多都有伊斯兰色彩 另外叙利亚的问题关键在于教派矛盾 美国和西方一厢情愿的描述成是民主与独裁 压迫与反抗的问题 我怀疑他们自己到底信不信这一套 	美国,的,所谓,自由,军,其实,很多,都,有,伊斯,伊斯兰,色彩,另外,叙利亚,利亚,的,问题,关键,关键在于,在于,教派,矛盾,美国,和,西方,一厢,一厢情愿,情愿,的,描述,成,是,民主,与,独裁,压迫,与,反抗,的,问题,我,怀疑,他们,自己,到底,信不信,不信,这,一套
1233	俄罗斯在叙利亚的反恐行动	为什么没有发录制互联网那一集的通知？	为什么没有发录制互联网那一集的通知 	为什么,什么,没有,发,录制,互联,互联网,联网,那,一集,的,通知
1234	俄罗斯在叙利亚的反恐行动	互联网这集，我想说你们请了一堆废物说了半天都没有一个人说到点子上去，电商火虽然有数据的嫌疑但毋庸置疑归根结底是价格，这个绝对不能否认，实际上淘宝这个平台就是房地产，传统实体为什么落寞不是因为电商而是因为房地产的高房租带来的高价格！所有的问题都是一个原因：畸形的房地产！	互联网这集 我想说你们请了一堆废物说了半天都没有一个人说到点子上去 电商火虽然有数据的嫌疑但毋庸置疑归根结底是价格 这个绝对不能否认 实际上淘宝这个平台就是房地产 传统实体为什么落寞不是因为电商而是因为房地产的高房租带来的高价格 所有的问题都是一个原因 畸形的房地产 	互联,互联网,联网,这,集,我,想,说,你们,请,了,一堆,废物,说了半天,半天,天都,没有,一个,个人,说,到,点子,上去,电商,火,虽然,有数,数据,的,嫌疑,但,毋庸,毋庸置疑,置疑,归根,归根结底,根结,底,是,价格,这个,绝对,不能,能否,否认,实际,实际上,淘宝,这个,平台,就是,房地,房地产,地产,传统,实体,为什么,什么,落寞,不是,是因为,因为,电商,而是,是因为,因为,房地,房地产,地产,的,高,房租,带来,的,高价,价格,所有,的,问题,都,是,一个,原因,畸形,的,房地,房地产,地产
1235	俄罗斯在叙利亚的反恐行动	我们为何不能免签呀！ 老大哥不仗义！	我们为何不能免签呀 老大哥不仗义 	我们,为何,何不,不能,能免,免签,呀,老大,老大哥,大哥,不,仗义
1236	俄罗斯在叙利亚的反恐行动	那是要反恐吗?// @海天下_海安漫思论坛 : // @浩汉防务-菜兵 : // @武师傅de控 :叙利亚加入俄联邦吧……	那是要反恐吗 海天下 海安漫思论坛 浩汉防务 菜兵 武师傅 控 叙利亚加入俄联邦吧 	那,是,要,反恐,吗,海天,天下,海安,漫,思,论坛,浩,汉,防务,菜,兵,武师,师傅,控,叙利亚,利亚,加入,俄联邦,联邦,吧
1237	俄罗斯在叙利亚的反恐行动	司马昭之心路人皆知	司马昭之心路人皆知	司马,司马昭,司马昭之,司马昭之心,心路,路人,路人皆知,皆知
1238	俄罗斯在叙利亚的反恐行动	他针对的是美国及其盟友与普世价值分离	他针对的是美国及其盟友与普世价值分离	他,针对,的,是,美国,及其,盟友,与,普,世,价值,分离
1239	俄罗斯在叙利亚的反恐行动	韩国人呢？该如何	韩国人呢 该如何	韩国,国人,呢,该,如何
1240	俄罗斯在叙利亚的反恐行动	老美就是发战争财的！你们觉醒吧！真主保佑你们！	老美就是发战争财的 你们觉醒吧 真主保佑你们 	老美,就是,发,战争,财,的,你们,觉醒,吧,真主,保佑,你们
1241	俄罗斯在叙利亚的反恐行动	你也用起了死鱼脸，跟几个渣子学狗叫，你TM的也是臭婊一个。	你也用起了死鱼脸 跟几个渣子学狗叫 你 的也是臭婊一个 	你,也,用,起,了,死,鱼,脸,跟,几个,渣子,学,狗叫,你,的,也,是,臭,婊,一个
1242	俄罗斯在叙利亚的反恐行动	 @向阳花in雨季	 向阳花 雨季	向阳,向阳花,雨季
1243	俄罗斯在叙利亚的反恐行动	老师你见过阮次山先生吗	老师你见过阮次山先生吗	老师,你,见,过,阮,次,山,先生,吗
1244	俄罗斯在叙利亚的反恐行动	好好的一个国家，就被作弄成这种样子了	好好的一个国家 就被作弄成这种样子了	好好,的,一个,国家,就,被,作弄,弄成,这种,样子,了
1245	俄罗斯在叙利亚的反恐行动	为什么老觉得中国领导人的双边会谈最后通告都是一些套话？感觉没有任何实质意义一样，都是些中某双方愿意加强合作，共同维护巴拉巴拉的话	为什么老觉得中国领导人的双边会谈最后通告都是一些套话 感觉没有任何实质意义一样 都是些中某双方愿意加强合作 共同维护巴拉巴拉的话	为什么,什么,老,觉得,中国,领导,领导人,的,双边,双边会谈,会谈,最后,通告,都,是,一些,套话,感觉,没有,任何,实质,意义,一样,都,是,些,中,某,双方,愿意,加强,合作,共同,维护,巴拉,巴拉巴,拉巴,巴拉,的话
1246	俄罗斯在叙利亚的反恐行动	道道都是坎，嗗硬骨头还得自身硬。国足雄起！	道道都是坎 嗗硬骨头还得自身硬 国足雄起 	道,道,都,是,坎,嗗,硬骨,硬骨头,骨头,还,得,自身,硬,国足,雄起
1247	俄罗斯在叙利亚的反恐行动	美国一定会参与打击ISIS，不过更多的还是处于自身利益的考虑，不想让这个俄罗斯一家独享这个果子。	美国一定会参与打击 不过更多的还是处于自身利益的考虑 不想让这个俄罗斯一家独享这个果子 	美国,国一,一定,定会,参与,打击,不过,更多,的,还是,处于,自身,利益,的,考虑,不想,让,这个,俄罗斯,罗斯,一家,独享,这个,果子
1248	俄罗斯在叙利亚的反恐行动	国土安全的剧情	国土安全的剧情	国土,安全,的,剧情
1249	俄罗斯在叙利亚的反恐行动	俄罗斯就喜欢炸美国。	俄罗斯就喜欢炸美国 	俄罗斯,罗斯,就,喜欢,炸,美国
1250	俄罗斯在叙利亚的反恐行动	这就是典型的滚蛋逻辑！你俄罗斯的军机入侵了土耳其的领空，人家把你打下来是天经地义！且不说你是军机，我记得当年俄罗斯炮轰过中国的船和韩国的民航，不也是打着入侵领海领空的旗号？俄罗斯、斯拉夫民族就是现如今彻头彻尾的法西斯！从总统到民众都是流氓！都是法西斯！	这就是典型的滚蛋逻辑 你俄罗斯的军机入侵了土耳其的领空 人家把你打下来是天经地义 且不说你是军机 我记得当年俄罗斯炮轰过中国的船和韩国的民航 不也是打着入侵领海领空的旗号 俄罗斯 斯拉夫民族就是现如今彻头彻尾的法西斯 从总统到民众都是流氓 都是法西斯 	这,就是,典型,的,滚蛋,逻辑,你,俄罗斯,罗斯,的,军机,入侵,了,土耳其,的,领空,人家,把,你,打下,下来,是,天经地义,且不说,你,是,军机,我,记得,得当,当年,俄罗斯,罗斯,炮轰,轰过,中国,的,船,和,韩国,的,民航,不,也,是,打着,入侵,领海,领空,的,旗号,俄罗斯,罗斯,斯拉,斯拉夫,拉夫,民族,就是,现如今,如今,彻头彻尾,的,法西,法西斯,西斯,从,总统,到,民众,都,是,流氓,都,是,法西,法西斯,西斯
1251	俄罗斯在叙利亚的反恐行动	就是打你，你敢怎样？ 老毛子还不是认怂。	就是打你 你敢怎样 老毛子还不是认怂 	就是,打,你,你,敢,怎样,老毛,毛子,还,不是,认,怂
1252	俄罗斯在叙利亚的反恐行动	// @占豪 : 普京借力打力，要继续领导打击IS！美利坚敢跟吗？ // @高程CASS : 俄罗斯将出动三款战略轰炸机投入叙利亚反恐战争。	 占豪 普京借力打力 要继续领导打击 美利坚敢跟吗 高程 俄罗斯将出动三款战略轰炸机投入叙利亚反恐战争 	占,豪,普京,借力,打,力,要,继续,领导,打击,美利,美利坚,敢,跟,吗,高程,俄罗斯,罗斯,将,出动,三款,战略,战略轰炸,轰炸,轰炸机,投入,叙利亚,利亚,反恐,战争
1253	俄罗斯在叙利亚的反恐行动	正义和爱终将获胜，这需要用正当的暴力摧毁邪恶的暴力	正义和爱终将获胜 这需要用正当的暴力摧毁邪恶的暴力	正义,和,爱,终将,获胜,这,需要,要用,正当,的,暴力,摧毁,邪恶,的,暴力
1254	俄罗斯在叙利亚的反恐行动	反对以美国为首的反华集团，他们想利用人权、民主、专制、贪官污吏等来进行破坏中国，造成中国乱局生起，所以我一定保卫我们和平环境，不让叙利亚悲剧在中重演！	反对以美国为首的反华集团 他们想利用人权 民主 专制 贪官污吏等来进行破坏中国 造成中国乱局生起 所以我一定保卫我们和平环境 不让叙利亚悲剧在中重演 	反对,以,美国,为首,的,反华,集团,他们,想,利用,用人,用人权,人权,民主,专制,贪官,贪官污吏,污吏,等,来,进行,破坏,中国,造成,中国,乱局,生起,所以,我,一定,保卫,我们,和平,环境,不让,叙利亚,利亚,悲剧,在,中,重演
1255	俄罗斯在叙利亚的反恐行动	俄军战机是叙利亚政府清的，其他国家的战机才是不请自来。	俄军战机是叙利亚政府清的 其他国家的战机才是不请自来 	俄军,军战,战机,是,叙利亚,利亚,政府,清,的,其他,他国,国家,的,战机,才,是,不请自来,自来
1256	俄罗斯在叙利亚的反恐行动	 @HE力口贝	 力口贝	力,口,贝
1257	俄罗斯在叙利亚的反恐行动	纯演习呀。// @占豪 : 普京借力打力，要继续领导打击IS！美利坚敢跟吗？ // @高程CASS : 俄罗斯将出动三款战略轰炸机投入叙利亚反恐战争。	纯演习呀 占豪 普京借力打力 要继续领导打击 美利坚敢跟吗 高程 俄罗斯将出动三款战略轰炸机投入叙利亚反恐战争 	纯,演习,呀,占,豪,普京,借力,打,力,要,继续,领导,打击,美利,美利坚,敢,跟,吗,高程,俄罗斯,罗斯,将,出动,三款,战略,战略轰炸,轰炸,轰炸机,投入,叙利亚,利亚,反恐,战争
